Date,Schedule,Event,Start,End
"2015, 10, 23",Check-in,,"07, 00, 00","15, 00, 00"
"2015, 10, 23",Welcome,Breakfast,"07, 45, 00","08, 15, 00"
"2015, 10, 23",Speakers,Keynote - Dr. Kerry Hart,"08, 15, 00","09, 30, 00"
"2015, 10, 23",Speakers,Break,"09, 30, 00","09, 45, 00"
"2015, 10, 23",Session 1,8 sessions,"09, 45, 00","11, 15, 00"
"2015, 10, 23",Session 1,Break,"11, 15, 00","11, 30, 00"
"2015, 10, 23",Lunch,Lunch,"11, 30, 00","12, 45, 00"
"2015, 10, 23",Lunch,Awards,"11, 30, 00","12, 45, 00"
"2015, 10, 23",Lunch,Break,"12, 45, 00","13, 00, 00"
"2015, 10, 23",Session 2,8 sessions,"13, 00, 00","14, 30, 00"
"2015, 10, 23",Session 2,Break,"14, 30, 00","14, 45, 00"
"2015, 10, 23",Session 3,8 sessions,"15, 00, 00","16, 30, 00"
