Date,Schedule,Event,Start,End
"2016, 10, 13",Check-in,,"07, 00, 00","15, 00, 00"
"2016, 10, 13",Welcome,Breakfast,"07, 30, 00","08, 15, 00"
"2016, 10, 13",Speakers,MPAEA Message,"08, 15, 00","08, 20, 00"
"2016, 10, 13",Speakers,Tricia Johnson - AEI - Colorado Department of Education,"08, 25, 00","08, 35, 00"
"2016, 10, 13",Speakers,Fred Franko - Colorado Department of Labor,"08, 40, 00","08, 50, 00"
"2016, 10, 13",Speakers,Keynote - Mickie Lewis,"08, 50, 00","09, 35, 00"
"2016, 10, 13",Speakers,Break,"09, 35, 00","09, 45, 00"
"2016, 10, 13",Session 1,8 sessions,"09, 45, 00","11, 15, 00"
"2016, 10, 13",Session 1,Break,"11, 15, 00","11, 30, 00"
"2016, 10, 13",Lunch,Lunch,"11, 30, 00","12, 45, 00"
"2016, 10, 13",Lunch,Awards,"11, 30, 00","12, 45, 00"
"2016, 10, 13",Lunch,Break,"12, 45, 00","13, 00, 00"
"2016, 10, 13",Session 2,8 sessions,"13, 00, 00","14, 30, 00"
"2016, 10, 13",Session 2,Break,"14, 30, 00","15, 00, 00"
"2016, 10, 13",Session 3,8 sessions,"15, 00, 00","16, 30, 00"
